Code,Sample_ID,Sample_Date,Sample_Time,Gage_Ht,Temp,pH,Cond,PR_Remarks
29966,QS,7/5/2011 0:00,730,3.45,22,6.78,50,
29967,QP,7/5/2011 0:00,747,1.4,22.1,7,78.3,
29968,QT1,7/5/2011 0:00,757,NA,22.3,6.91,117,
29969,QG,7/5/2011 0:00,1102,8.6,20.8,6.07,50.7,
29970,RI,7/5/2011 0:00,1123,1.18,21.2,6.06,60.6,
29971,RES4,7/5/2011 0:00,1004,3.95,25.3,6.89,106.6,
29972,MPR,7/5/2011 0:00,945,2.23,24.46,7.77,91.51,
29973,Q1,7/5/2011 0:00,856,0.74,23.64,7.53,95.4,
29974,Q2,7/5/2011 0:00,838,0.1,23.75,7.32,90.3,
29975,Q3,7/5/2011 0:00,826,0.92,23.54,7.35,79.46,
29976,RS,7/5/2011 0:00,956,8.13,25,7.41,97.23,
29982,QS,7/12/2011 0:00,845,3.9,21.7,6.91,41,
29983,QP,7/12/2011 0:00,910,1.7,21.9,7.15,62.6,
29984,QT1,7/12/2011 0:00,900,NA,22.2,7.2,92.5,
29985,QG,7/12/2011 0:00,NA,NA,NA,NA,NA,No sample. Flooded road.
29986,RI,7/12/2011 0:00,1100,NA,NA,NA,NA,No sample. Flooded road.
29987,RES4,7/12/2011 0:00,1100,7.1,23.5,6.82,55.5,Flooded
29988,MPR,7/12/2011 0:00,1005,1.2,23.41,6.97,44.13,
29989,Q1,7/12/2011 0:00,855,1.42,23.7,6.79,91.4,
29990,Q2,7/12/2011 0:00,850,0.6,23.61,7.11,26.4,
29991,Q3,7/12/2011 0:00,840,1.4,23.4,7.19,58.09,
29992,RS,7/12/2011 0:00,1020,9.66,23.71,6.84,67.4,
29998,QS,7/19/2011 0:00,920,3.9,22,7,39.9,
29999,QP,7/19/2011 0:00,945,1.56,22,7.2,60,
30000,QT1,7/19/2011 0:00,935,NA,22.3,7.11,95,
30001,QG,7/19/2011 0:00,NA,NA,NA,NA,NA,No Sample
30002,RI,7/19/2011 0:00,1100,NA,NA,NA,NA,No Sample
30003,RES4,7/19/2011 0:00,1105,4.57,24.2,6.8,75.1,
30004,MPR,7/19/2011 0:00,943,2.55,24.13,7.5,78.26,
30005,Q1,7/19/2011 0:00,900,0.78,23.25,7.44,103.6,
30006,Q2,7/19/2011 0:00,842,NA,23.79,7.6,65.7,
30007,Q3,7/19/2011 0:00,834,1,23.59,7.41,76.92,
30008,RS,7/19/2011 0:00,953,8.3,24.76,7.4,81.77,
30014,QS,7/26/2011 0:00,730,3.51,22,6.95,48.5,
30015,QP,7/26/2011 0:00,800,1.43,22.3,7.33,75.4,
30016,QT1,7/26/2011 0:00,745,NA,22.2,7.53,109.5,
30017,QG,7/26/2011 0:00,1135,8.6,21.1,6.32,49.5,
30018,RI,7/26/2011 0:00,1210,1.18,21.9,6.2,59.3,
