"Sample_ID","Code","Sample_Date","Sample_Time","Gage_Ht","Temp","pH","Cond","Cl","NO3-N","SO4-S","Na","K","Mg","Ca","NH4-N","PO4-P","DOC","DIC","TDN","TDP","SiO2","DON","ChlorideCode","NitrateCode","SulfateCode","SodiumCode","PotassiumCode","MagnesiumCode","CalciumCode","NH4Code","PO4Code","DOCCode","DICCode","TDNCode","SiO2Code","DONCode","TSS"
"Q2",100013001,1986-05-20,NA,NA,NA,7.52,90.2,7.3,225,1.23,6.98,0.82,2.86,5.38,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"Q2",100013002,1986-05-27,NA,NA,NA,7.59,84.4,NA,195,1.29,7.21,0.78,3.17,5.34,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"Q2",100013003,1986-06-03,NA,NA,NA,7.55,83.3,NA,206,NA,6.97,0.77,2.98,3.98,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"Q2",100013004,1986-10-21,1310,NA,24,7.42,84.8,7.3,206,NA,7.17,0.71,2.43,5.1,9,NA,0.45,6.03,NA,NA,29.8,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3.66
"Q2",100013005,1986-10-28,1136,NA,23,7.39,85,7.3,47,NA,7.1,0.73,2.51,5.04,34,NA,0.1,7.77,NA,NA,29.3,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",7.75
"Q2",100013006,1986-11-04,1100,NA,22.5,7.43,84.2,7.3,114,NA,7.37,0.68,2.62,4.98,10,NA,0.29,5.34,NA,NA,30.1,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",7.1
"Q2",100013007,1986-11-10,1023,NA,23,7.35,73.8,6.9,313,NA,6.34,0.74,2.19,4.79,34,NA,0.16,5.97,NA,NA,25.8,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",11.47
"Q2",100013008,1986-11-18,851,NA,22,7.51,80.8,7,353,NA,7.17,0.72,2.4,4.82,26,NA,0.1,8.5,NA,NA,28.8,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",8.4
"Q2",100013009,1986-11-25,845,NA,22,7.19,50.3,6.2,414,NA,4.23,0.92,1.31,3.2,NA,NA,5.64,3.9,NA,NA,10.9,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",131.9
"Q2",100013010,1986-12-02,933,NA,22,7.41,84.4,7,262,NA,7.13,0.68,2.46,4.87,12,NA,0.69,8.15,NA,NA,28.8,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",8.7
"Q2",100013011,1986-12-09,838,NA,22,7.62,87.8,7.5,249,1.26,8.13,0.67,2.68,4.86,11,NA,0.49,8.6,NA,NA,30.4,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",11.93
"Q2",100013012,1986-12-16,830,NA,21,7.43,80.1,7.5,240,1.2,7.79,0.66,2.64,4.79,10,NA,1.28,7.28,NA,NA,29.6,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",17.8
"Q2",100013013,1986-12-23,800,NA,21,7.55,90.5,7.6,157,1.3,8.07,0.6,2.76,5.13,23,NA,2.61,9.84,NA,NA,31.1,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",7.1
"Q2",100013014,1986-12-30,839,NA,21,7.69,88.4,7.5,202,1.2,7.87,0.64,2.71,4.88,20,NA,NA,NA,NA,NA,30.4,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA",5.8
"Q2",100013015,1987-01-05,919,NA,21,7.4,84.5,8,309,NA,7.49,0.68,2.71,4.5,25,NA,NA,8.65,NA,NA,33.4,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",33.8
"Q2",100013016,1987-01-13,900,NA,21,7.63,81.9,7.6,242,NA,7.86,0.62,2.69,5.2,18,NA,0.12,8.93,NA,NA,31.2,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5.3
"Q2",100013017,1987-01-20,838,NA,21,7.49,91.2,8.3,338,NA,8.01,0.76,2.73,5.25,19,NA,1.33,8.87,NA,NA,29.8,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",6.67
"Q2",100013018,1987-01-27,845,NA,21,7.67,88.9,7.6,232,NA,7.87,0.63,2.73,5.24,23,NA,0.49,9.84,NA,NA,31.4,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",7.27
"Q2",100013019,1987-02-03,819,NA,21,7.62,89,NA,210,1.28,7.77,0.66,2.67,4.85,26,NA,0.1,8.79,NA,NA,29.5,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",7
"Q2",100013020,1987-02-10,835,NA,21,7.66,90.3,NA,212,1.38,7.96,0.71,2.69,5.03,27,NA,0.58,11.13,NA,NA,30.1,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4.81
"Q2",100013021,1987-02-17,942,NA,21,7.66,80.3,NA,208,NA,7.83,0.73,2.75,4.41,7,NA,1.37,6.42,NA,NA,29.8,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4.41
"Q2",100013022,1987-02-24,913,NA,21,7.52,85.2,7.4,186,NA,7.98,0.67,2.76,5.12,NA,NA,1.39,6.99,NA,NA,30.6,NA,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",2.55
"Q2",100013023,1987-03-03,956,NA,22,7.64,87.3,7.6,NA,NA,7.99,0.72,2.87,5.24,8,NA,1.13,6.98,NA,NA,30.3,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3.15
"Q2",100013024,1987-03-10,911,NA,21,7.58,87.6,7.5,204,NA,7.71,0.74,2.81,5.09,7,NA,0.53,8.27,NA,NA,30,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5.5
"Q2",100013025,1987-03-18,1126,NA,21,7.52,73.6,7.3,212,NA,7.4,0.96,2.58,5.15,6,NA,0.42,10.76,NA,NA,29.5,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",6.4
"Q2",100013026,1987-03-24,928,NA,22,7.52,87.2,7.6,293,NA,6.3,1.02,2.07,4.19,8,NA,0.58,NA,NA,NA,18.1,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",16.8
