"Sample_ID","Code","Sample_Date","Sample_Time","Gage_Ht","Temp","pH","Cond","Cl","NO3-N","SO4-S","Na","K","Mg","Ca","NH4-N","PO4-P","DOC","DIC","TDN","TDP","SiO2","DON","ChlorideCode","NitrateCode","SulfateCode","SodiumCode","PotassiumCode","MagnesiumCode","CalciumCode","NH4Code","PO4Code","DOCCode","DICCode","TDNCode","SiO2Code","DONCode","TSS"
"QG",120000244,1992-02-02,1030,NA,18.9,7.2,56.5,6.9,410,0.3,6.5,0.46,1.14,3.39,5,NA,1.1,NA,NA,NA,23.5,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1
"QG",120000245,1992-02-19,1615,NA,19.4,7.3,49,7.6,210,0.37,5.99,0.51,1.14,3.11,NA,NA,1.7,NA,NA,NA,21.1,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",8
"QG",120000246,1992-03-02,1530,NA,19.3,7.2,49,7.2,140,0.33,6.21,0.48,1.18,3.28,NA,NA,1.2,NA,NA,NA,22,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2
"QG",120000247,1992-03-18,1600,NA,19.3,6.8,47,8.4,170,0.63,5.57,0.57,1.03,2.62,NA,NA,3.3,NA,NA,NA,11.5,NA,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",12
"QG",120000248,1992-04-01,1630,NA,19.8,6.9,49,6.9,150,0.4,5.81,0.52,1.12,3.06,11,NA,1.8,NA,NA,NA,19.1,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5
"QG",120000249,1992-04-29,1515,NA,20.5,6.8,51,7.1,150,0.3,5.92,0.49,1.15,3.19,NA,NA,1,NA,NA,NA,21.7,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2
"QG",120000250,1992-05-13,1530,NA,20.2,6.8,48,6.6,170,0.37,5.68,0.47,1.04,2.73,NA,NA,1.1,NA,NA,NA,19.2,NA,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",3
"QG",120000251,1992-05-28,1345,NA,20.7,6.9,48,7.3,170,0.33,5.95,0.49,1.1,3.39,8,NA,1,NA,NA,NA,21.2,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3
"QG",120000252,1992-06-09,1715,NA,20.9,6.9,48,7.5,NA,NA,5.79,0.52,1.07,3.39,6,NA,0.7,NA,NA,NA,20.8,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3
"QG",120000253,1992-07-01,1445,NA,21.1,7.1,52,7.6,150,0.3,5.75,0.47,1.14,3.17,6,NA,0.9,NA,NA,NA,21.7,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3
"QG",120000254,1992-07-29,1159,NA,21.1,6.7,52.2,7.1,150,0.33,5.75,0.49,1.12,3.11,8,NA,1,NA,NA,NA,20.3,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4
"QG",120000255,1992-08-12,1130,NA,21.1,6.5,52.6,6.6,160,0.37,5.2,0.5,1,2.68,6,NA,1.1,NA,NA,NA,16.8,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3
"QG",120000256,1992-08-26,1430,NA,21.2,6.5,56,7.4,130,0.33,6.07,0.48,1.17,3.73,NA,NA,1.2,NA,NA,NA,22.7,NA,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",4
"QG",120000259,1992-09-20,1326,NA,NA,NA,26.7,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1460
"QG",120000260,1992-09-20,1331,NA,NA,NA,25.6,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.12,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1080
"QG",120000261,1992-09-20,1336,NA,NA,NA,22.9,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.55,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",760
"QG",120000258,1992-09-20,1321,NA,NA,NA,28.7,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.63,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1460
"QG",120000257,1992-09-20,1316,NA,NA,NA,31.7,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.16,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",991
"QG",120000262,1992-09-22,930,NA,21.6,7.2,51.6,6.7,170,0.37,5.63,0.49,1.04,2.88,9,NA,1.3,NA,NA,NA,18,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4
"QG",120000263,1992-10-07,1043,NA,20.6,6.6,57.4,6.7,140,0.33,6,0.47,1.13,3.71,6,NA,0.9,NA,NA,NA,22.5,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2
"QG",120000264,1992-11-10,1700,NA,20.7,6.8,48.6,6.5,190,0.43,5.41,0.49,0.98,2.62,NA,NA,2.2,NA,NA,NA,15.5,NA,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",111
"QG",120000265,1992-12-02,945,NA,20.4,6.8,53.2,7.1,170,0.33,5.84,0.46,1.04,2.91,6,NA,1.2,NA,NA,NA,19.3,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",6
"QG",120000266,1992-12-29,1045,NA,20.1,6.8,53.1,6.9,150,0.37,5.63,0.49,1.06,2.99,NA,NA,1.3,NA,NA,NA,18.5,NA,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",6
"QG",120000267,1993-01-12,1045,NA,19.8,6.7,56.1,6.9,140,0.3,6.12,0.46,1.17,3.24,8,NA,0.8,NA,NA,NA,22.2,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4
"QG",120000268,1993-02-16,938,NA,20,6.9,56.9,7,130,0.3,6.21,0.45,1.16,3.53,7,NA,0.8,NA,NA,NA,23.8,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5
"QG",120000269,1993-03-09,1436,NA,20.4,7,54.8,7.2,100,0.3,6.47,0.45,1.23,3.76,5,NA,0.8,NA,NA,NA,25.2,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4
"QG",120000270,1993-04-19,1517,NA,22,7.2,57.2,7.6,30,NA,6.4,0.5,1.23,3.66,6,NA,1.6,NA,NA,NA,23.1,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"QG",120000272,1993-04-30,434,NA,NA,NA,28.6,4.3,100,0.5,3.34,0.6,0.46,0.97,NA,NA,NA,NA,NA,NA,3.18,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1010
"QG",120000274,1993-04-30,1354,NA,NA,NA,25.8,4.4,90,0.5,3.31,0.53,0.45,0.86,NA,NA,NA,NA,NA,NA,2.56,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",282
"QG",120000273,1993-04-30,1349,NA,NA,NA,25.9,4.3,100,0.5,3.1,0.54,0.4,0.76,NA,NA,NA,NA,NA,NA,2.43,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",453
"QG",120000271,1993-04-30,429,NA,NA,NA,29.9,3,60,0.33,2.17,0.42,0.33,0.78,NA,NA,NA,NA,NA,NA,3.06,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1510
"QG",120000280,1993-05-01,1408,NA,NA,NA,18.4,2.6,90,0.43,1.9,0.46,0.26,0.61,NA,NA,NA,NA,NA,NA,0.32,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2300
"QG",120000283,1993-05-01,1433,NA,NA,NA,18.2,2.9,100,0.47,2.14,0.42,0.26,0.53,NA,NA,NA,NA,NA,NA,0.14,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1100
