"Sample_ID","Code","Sample_Date","Sample_Time","Gage_Ht","Temp","pH","Cond","Cl","NO3-N","SO4-S","Na","K","Mg","Ca","NH4-N","PO4-P","DOC","DIC","TDN","TDP","SiO2","DON","ChlorideCode","NitrateCode","SulfateCode","SodiumCode","PotassiumCode","MagnesiumCode","CalciumCode","NH4Code","PO4Code","DOCCode","DICCode","TDNCode","SiO2Code","DONCode","TSS"
"QP",2501,1990-01-25,1258,NA,21,7,57.7,7.6,20,0.9,5.31,0.75,2.44,5.13,NA,NA,NA,NA,0.86,NA,17.15,NA,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",NA
"QP",2558,1990-02-14,910,NA,20,6.6,55.8,12.8,460,0.38,5.78,1.14,2.06,2.57,NA,NA,NA,NA,NA,NA,3.73,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"QP",3015,1990-04-25,NA,NA,NA,NA,NA,NA,611,NA,4.06,1.03,1.13,1.49,NA,NA,6.4,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",NA
"QP",3461,1990-06-05,1240,NA,23,7.16,72.1,8.6,89,0.48,5.65,0.67,3.12,3.55,NA,NA,2.63,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",88.33
"QP",3519,1990-07-06,NA,NA,NA,NA,NA,6.47,230,0.67,4.55,0.68,1.95,2.66,NA,NA,6.6,NA,NA,NA,4.15,NA,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",NA
"QP",15103,1994-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","BDL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",197.5
"QP",20849,1999-10-26,930,NA,21,7.56,72.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"QP",20854,1999-11-02,940,NA,21,7.23,65.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"QP",20859,1999-11-09,1030,NA,22,7.33,74.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"QP",20864,1999-11-16,940,NA,22,7.72,71.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
