"Sample_ID","Code","Sample_Date","Sample_Time","Gage_Ht","Temp","pH","Cond","Cl","NO3-N","SO4-S","Na","K","Mg","Ca","NH4-N","PO4-P","DOC","DIC","TDN","TDP","SiO2","DON","ChlorideCode","NitrateCode","SulfateCode","SodiumCode","PotassiumCode","MagnesiumCode","CalciumCode","NH4Code","PO4Code","DOCCode","DICCode","TDNCode","SiO2Code","DONCode","TSS"
"QS",100010001,1983-01-06,NA,3.9,NA,7.15,37.8,4.9,40,1.67,3.9,0.22,1.24,1.76,5,NA,NA,NA,NA,NA,3.4,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"QS",100010002,1983-06-03,NA,2.54,NA,7.63,52.8,6,64,0.97,4.96,0.23,1.97,2.76,7,NA,NA,NA,NA,NA,7.8,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.6
"QS",100010003,1983-06-08,NA,2.66,NA,7.51,48.8,5.8,40,1.35,4.61,0.26,1.71,2.44,15,NA,NA,NA,NA,NA,7.6,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.2
"QS",100010004,1983-06-13,923,2.55,21,7.66,55.1,6,70,1.27,4.92,0.28,1.9,2.68,27,NA,NA,NA,NA,NA,9.2,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3.6
"QS",100010005,1983-06-16,915,4.5,21.7,6.96,34.2,4.2,40,0.51,3.22,0.23,NA,1.09,32,NA,5.26,NA,NA,NA,0.5,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",10.8
"QS",100010006,1983-06-20,1127,2.74,21,7.54,47,6,42,0.81,4.66,0.23,1.74,2.11,14,NA,NA,NA,NA,NA,10.8,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.9
"QS",100010007,1983-06-27,1220,2.94,22,7.84,58,6.2,44,NA,4.71,0.26,1.69,2.47,18,NA,NA,NA,NA,NA,11.2,NA,"NA","NA","BDL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2.2
"QS",100010008,1983-07-05,1235,4.08,21,8.17,36.8,5.1,33,0.84,3.35,0.23,1.13,1.49,15,NA,3.04,0.9,NA,NA,4.6,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",6.1
"QS",100010009,1983-07-11,915,2.76,21,7.93,48.2,6.6,51,0.55,4.81,0.24,1.69,2.39,13,NA,1.1,2.85,NA,NA,12.4,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.1
"QS",100010010,1983-07-21,1020,2.72,NA,8.04,55,6.3,36,1.53,3.56,0.25,1.62,2.31,15,NA,1.93,2.25,NA,NA,10.1,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.1
"QS",100010011,1983-07-26,905,2.59,21.9,8,55,6.4,49,0.85,4.8,0.26,1.85,2.44,NA,NA,1.53,2.25,NA,NA,11.8,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0
"QS",100010012,1983-08-01,945,3.39,21,8.23,49.9,6,110,0.67,4.37,0.26,1.54,2.23,49,NA,1.64,2.25,NA,NA,11.1,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2.3
"QS",100010013,1983-08-08,910,2.6,21,8.05,48,6.3,51,0.98,4.72,0.26,1.91,2.54,21,NA,1.68,3.92,NA,NA,12.1,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1
