"Sample_ID","Code","Sample_Date","Sample_Time","Gage_Ht","Temp","pH","Cond","Cl","NO3-N","SO4-S","Na","K","Mg","Ca","NH4-N","PO4-P","DOC","DIC","TDN","TDP","SiO2","DON","ChlorideCode","NitrateCode","SulfateCode","SodiumCode","PotassiumCode","MagnesiumCode","CalciumCode","NH4Code","PO4Code","DOCCode","DICCode","TDNCode","SiO2Code","DONCode","TSS"
"QT",100020001,1983-05-24,NA,NA,NA,7.64,80.8,7.5,40,1.29,6.51,0.28,4.05,5.23,NA,NA,NA,NA,NA,NA,19.3,NA,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",NA
"QT",100020002,1983-06-03,NA,1.22,NA,7.99,114.9,7.7,70,1.4,8.09,0.29,5.67,7.13,NA,NA,NA,7,NA,NA,23.4,NA,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",2
"QT",100020003,1983-06-08,NA,1.23,NA,8.02,118,NA,80,NA,8.4,0.31,6.37,7.2,23,NA,NA,NA,NA,NA,23.1,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4.1
"QT",100020004,1983-06-13,NA,1.27,22,7.96,113.8,7.7,90,NA,8.57,0.3,5.68,7.58,13,NA,NA,NA,NA,NA,21.7,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",6
"QT",100020005,1983-06-16,NA,1.38,22.9,7.45,64.8,6.7,90,NA,5.35,0.29,2.85,3.8,34,NA,NA,NA,NA,NA,14.6,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",14.5
"QT",100020006,1983-06-20,NA,1.28,22,7.57,89.5,7.9,41,0.44,7.06,0.35,4.44,5.54,12,NA,NA,NA,NA,NA,20.2,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5.7
"QT",100020007,1983-06-27,NA,1.27,23,7.84,100,7.7,62,NA,7.58,0.36,NA,6.43,20,NA,NA,NA,NA,NA,23.5,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",7.7
"QT",100020008,1983-07-05,NA,1.38,21.5,7.83,72.2,7.1,54,0.68,5.4,0.26,2.91,3.84,28,NA,1.66,2.1,NA,NA,16.3,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",11.5
"QT",100020009,1983-07-11,NA,1.3,22,7.7,86,7.8,47,NA,7.27,0.27,4.5,7.11,12,NA,0.73,7.9,NA,NA,21.8,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2.5
"QT",100020010,1983-07-21,NA,1.26,NA,7.6,107,8.1,54,1.12,7.75,0.3,4.81,6.47,16,NA,0.83,7.75,NA,NA,24.3,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",6.5
"QT",100020011,1983-07-26,NA,1.25,22.7,7.9,112,8,69,1.29,7.91,0.31,5.22,6.55,NA,NA,0.82,7.85,NA,NA,25,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3
"QT",100020012,1983-08-01,NA,1.28,22,7.65,105.8,8,55,NA,7.8,0.3,5.92,6.66,73,NA,1.46,5.2,NA,NA,24.1,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4.9
"QT",100020013,1983-08-08,NA,1.28,21,7.98,106,8,NA,0.8,7.69,0.28,5.2,6.64,8,NA,0.94,9.3,NA,NA,24.7,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3.3
"QT",100020014,1983-08-15,NA,1.24,22,7.9,112,8.1,87,NA,8.18,0.29,5.8,6.87,29,NA,0.76,10.13,NA,NA,25.8,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",8.7
"QT",100020015,1983-08-18,NA,1.27,22,NA,90,7.2,70,1.05,7.19,0.28,5.44,6.02,NA,NA,NA,7.59,NA,NA,23.4,NA,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",3.8
"QT",100020016,1983-08-22,NA,1.39,22.5,7.94,90,6.9,56,0.48,5.7,0.26,3.28,4.03,18,NA,2.16,4.47,NA,NA,16.5,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",11.2
"QT",100020017,1983-08-29,NA,1.33,21.9,7.74,84,7.1,58,0.72,6.71,0.24,4.05,5.33,25,NA,1.28,6.27,NA,NA,20.9,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.9
"QT",100020018,1983-09-06,NA,1.27,22,7.74,104,7.6,66,NA,7.7,0.25,5.65,6.27,NA,NA,NA,7.47,NA,NA,24.5,NA,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",3.2
"QT",100020019,1983-09-12,NA,1.26,22.2,7.74,110,7.9,81,1.36,8.09,0.29,5.32,6.67,6,NA,0.85,8.03,NA,NA,25.2,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3.93
"QT",100020020,1983-09-19,NA,1.27,22.9,8.19,90,7,77,0.98,7.11,0.28,5.19,6.19,6,NA,1.79,7.68,NA,NA,23.1,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5.95
"QT",100020021,1983-09-26,NA,1.28,22,8.18,94.8,8.6,70,0.73,7.12,0.28,4.65,6.05,NA,NA,1.41,7.68,NA,NA,21.3,NA,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",7.31
"QT",100020022,1983-10-03,NA,1.25,21.8,7.98,103,9.3,102,1.2,7.67,0.29,NA,7.03,13,NA,1.19,9.2,NA,NA,23.9,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5.36
"QT",100020023,1983-10-10,NA,1.24,21,8.21,87,8.9,91,1.38,7.22,0.29,5.48,6.78,7,NA,NA,9.12,NA,NA,23,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3.97
"QT",100020024,1983-10-17,NA,1.34,22,7.64,88,7.8,70,0.82,6.75,0.3,4.78,6.26,11,NA,2.49,7.6,NA,NA,20.4,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",18.8
"QT",100020025,1983-10-24,NA,1.26,22,7.81,98,9.1,72,0.83,7.55,0.28,5.12,6.75,9,NA,1.46,8.11,NA,NA,22.5,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2.54
"QT",100020026,1983-10-31,NA,1.34,20.5,8.13,70,7.5,78,0.63,5.6,0.27,3.34,4.48,14,NA,2.34,5.06,NA,NA,18,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",15.7
"QT",100020027,1983-11-07,NA,1.32,21,7.67,81,8.7,55,NA,6.65,0.29,4.17,5.03,6,NA,1.37,5.68,NA,NA,21,NA,"NA","NA","BDL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",9
"QT",100020028,1983-11-14,NA,1.27,21,7.92,98,9.3,61,0.76,7.65,0.28,4.98,6.41,NA,NA,0.87,7.53,NA,NA,25,NA,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",3.93
"QT",100020029,1983-11-21,NA,1.26,21.9,7.59,110.9,9.4,78,NA,8.01,0.27,NA,6.5,NA,NA,0.78,11.09,NA,NA,26.2,NA,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",2.72
"QT",100020030,1983-11-28,NA,1.24,21,7.91,114,9.5,90,0.68,7.34,0.28,6.55,7.26,NA,NA,1.34,7.5,NA,2,26.7,NA,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",4.4
"QT",100020031,1983-12-05,NA,1.26,21,7.73,96,9.2,52,NA,7.42,0.32,6.07,6.09,14,NA,1.32,8.71,NA,2,24.3,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2.57
"QT",100020032,1983-12-12,NA,1.28,20.9,8.4,96,9,42,0.58,6.96,0.28,6.57,6.01,9,NA,1.44,8.4,NA,1,22.7,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.1
"QT",100020033,1983-12-19,NA,1.28,20.9,7.45,115,8.8,51,NA,7.08,0.25,8.06,6.45,21,NA,1.46,8.4,NA,NA,23.4,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2.57
"QT",100020034,1983-12-27,NA,1.26,21,7.67,104.1,9,71,1.05,7.79,0.3,6.91,7.19,16,NA,1.07,10.47,NA,NA,25.2,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2.8
"QT",100020035,1984-01-03,NA,1.26,19,7.47,106.9,8.9,65,NA,7.39,0.27,5.75,6.87,13,NA,1.45,6.4,NA,4,24.2,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2.64
"QT",100020036,1984-01-09,NA,1.26,20.9,7.56,110,8.8,98,NA,7.42,0.31,5.52,6.89,NA,NA,1.37,9.27,NA,NA,24.4,NA,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",7.4
"QT",100020037,1984-01-16,NA,1.28,20.9,7.5,103,8.8,55,NA,7.2,0.31,NA,6.35,NA,NA,1.18,9.21,NA,2,23.5,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4.7
"QT",100020041,1984-01-19,NA,1.26,20.5,7.69,104,9.6,68,NA,7.82,0.31,4.64,7.72,5,NA,1.1,9.14,NA,NA,24.5,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"QT",100020042,1984-01-19,NA,1.27,20.5,7.68,110,9.7,65,NA,7.66,0.31,4.67,7.38,NA,NA,1.57,9.41,NA,NA,24.6,NA,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",NA
"QT",100020040,1984-01-19,NA,1.25,21,7.78,112,9.1,68,NA,7.67,0.27,4.65,7.37,NA,NA,0.82,11.34,NA,NA,25.2,NA,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",NA
