"Sample_ID","Code","Sample_Date","Sample_Time","Gage_Ht","Temp","pH","Cond","Cl","NO3-N","SO4-S","Na","K","Mg","Ca","NH4-N","PO4-P","DOC","DIC","TDN","TDP","SiO2","DON","ChlorideCode","NitrateCode","SulfateCode","SodiumCode","PotassiumCode","MagnesiumCode","CalciumCode","NH4Code","PO4Code","DOCCode","DICCode","TDNCode","SiO2Code","DONCode","TSS"
"RES4",23082,2003-04-22,1134,4.68,22.8,7.15,87.8,8.03,76,0.72,6.62,0.5,3.15,5.9,18,14,2.99,NA,0.15,NA,13.75,0.05,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",16.57
"RES4",23098,2003-04-29,1124,3.9,25.8,7.25,97.4,9.56,44,0.65,7.83,0.19,3.29,6.3,9,6,1.38,NA,0.1,NA,19.52,0.05,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.7
"RES4",23114,2003-05-06,1116,3.72,26.7,7.28,113.2,10.53,36,0.67,9.04,0.19,4.73,9.15,9,19,1.27,NA,0.09,NA,22.2,0.04,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.5
"RES4",23130,2003-05-13,1115,3.66,26.6,7.35,118.5,10.23,52,0.59,6.87,0.44,3.68,3.37,15,14,1.21,NA,0.13,NA,39.99,0.06,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.7
"RES4",23146,2003-05-20,1125,3.69,26.5,7.19,93.8,8.62,32,0.67,5.42,0.33,2.67,3.24,14,9,2.1,NA,0.11,NA,17.39,0.06,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.39
"RES4",23162,2003-05-27,1120,37.2,27,7.57,97,8.67,49,0.79,5.68,0.42,2.82,3.71,NA,10,1.51,NA,0.14,NA,19.18,0.09,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",1.4
"RES4",23178,2003-06-03,1300,4.56,27.1,7.49,84,8.45,36,0.56,4.97,0.47,2.43,3.92,6,10,1.42,NA,0.09,NA,15.53,0.04,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4.14
"RES4",23194,2003-06-10,1249,3.82,26.5,7.14,72.4,7.98,20,0.6,4.19,0.33,2.21,4.43,10,11,2.52,NA,0.11,NA,13.28,0.08,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3.1
"RES4",23210,2003-06-17,1300,3,26.6,7.25,74.1,8.93,22,0.63,5.89,0.33,2.56,4.95,NA,NA,2.11,NA,0.18,NA,16.06,0.17,"NA","NA","NA","NA","NA","NA","NA","BDL","BDL","NA","NA","NA","NA","NA",3.65
"RES4",23226,2003-06-24,1155,3.79,28,7.46,96.5,9.46,81,0.8,7.68,0.43,4.35,5.92,NA,NA,2.13,NA,0.14,NA,NA,0.06,"NA","NA","NA","NA","NA","NA","NA","BDL","BDL","NA","NA","NA","NA","NA",0.9
"RES4",23242,2003-07-01,1022,3.69,27.3,7.26,105,10.95,15,0.67,8.49,0.54,3.62,5.41,6,NA,1.48,NA,0.09,NA,16.82,0.07,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",0.79
"RES4",23258,2003-07-08,1355,3.8,26.9,7.3,89.6,9.73,23,0.65,7.28,0.31,3.34,5.44,7,NA,2.57,NA,0.08,NA,9.95,0.05,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",1.16
"RES4",23274,2003-07-15,1230,3.82,27.6,7.16,91.3,9.32,40,0.78,6.53,0.4,2.95,5.3,7,NA,2.18,NA,0.08,NA,12.06,0.03,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",1.4
"RES4",23290,2003-07-22,1105,5.1,24.4,6.77,61.5,8.7,37,0.71,5.72,0.38,1.85,3.77,NA,NA,3.92,NA,0.14,NA,7.16,0.1,"NA","NA","NA","NA","NA","NA","NA","BDL","BDL","NA","NA","NA","NA","NA",110
"RES4",23306,2003-07-29,1135,3.92,26.5,7.06,74.7,9.47,NA,0.68,5.85,0.49,2.37,4.77,6,NA,2.65,NA,0.12,NA,7.76,0.11,"NA","BDL","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",1.8
"RES4",23322,2003-08-05,1135,3.77,27.3,7.33,91.5,10.26,54,0.67,7.11,0.42,3.26,7.49,12,NA,1.46,NA,0.1,NA,11.25,0.03,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",0.34
"RES4",23338,2003-08-12,1120,3.79,27.3,7.56,92.8,9.77,22,0.61,7.32,0.35,3.21,4.56,16,NA,1.35,NA,0.11,NA,16,0.07,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",0.67
"RES4",23354,2003-08-19,1130,3.91,26.5,7.29,76.6,8.38,32,0.64,6.49,0.25,2.6,5.17,11,NA,2.56,NA,0.11,NA,12.54,0.07,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",1.33
"RES4",23370,2003-08-26,1115,5.6,24,6.87,50.8,6.49,55,0.59,5.16,0.38,1.64,3.23,9,9,4,NA,0.2,NA,7.44,0.14,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",22.5
"RES4",23386,2003-09-02,1130,4.4,25.7,7.26,66,6.99,47,0.52,5.56,0.35,2.15,3.88,10,5,1.49,NA,0.1,NA,14.46,0.04,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.96
"RES4",23402,2003-09-09,1050,4.08,25.2,7.28,77.9,7.64,49,0.64,6.28,0.47,2.77,5.25,13,NA,3.08,NA,0.14,NA,14.67,0.08,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",1.86
"RES4",23418,2003-09-16,1105,4.64,24.8,6.88,53.5,6.46,28,0.53,4.97,0.3,1.65,3.36,8,6,4.14,NA,0.16,NA,11.63,0.12,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",11.27
"RES4",23434,2003-09-23,1105,3.94,26.3,7.18,81.1,8.21,45,0.62,6.58,0.36,2.63,5.77,NA,6,2.3,NA,0.15,NA,15.75,0.11,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",1.86
"RES4",23450,2003-09-30,1116,4.42,25.5,7.08,81.9,8.56,56,0.56,7,0.36,2.66,5.46,NA,6,1.75,NA,0.13,NA,19.37,0.07,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",3.73
"RES4",23466,2003-10-07,1110,3.65,26.2,7.32,115.1,10.94,98,0.66,8.48,0.43,3.99,7.02,61,7,1.37,NA,0.15,NA,19.24,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","BDL",0
"RES4",23482,2003-10-14,1123,3.8,26.4,7.24,87.4,8.73,62,0.63,7.14,0.42,3.14,6.17,9,4,1.84,NA,0.14,NA,11.38,0.07,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.4
"RES4",23498,2003-10-21,1102,3.8,26.1,7.45,107,9.4,86,0.63,7.86,0.44,3.79,6.4,9,7,1.81,NA,0.14,NA,16.68,0.05,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.5
"RES4",23514,2003-10-28,1102,3.64,26.9,7.34,109.8,11.8,86,0.78,8.68,0.52,4.72,9.47,10,8,1.19,NA,0.1,NA,19.46,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","BDL",0.8
"RES4",23530,2003-11-04,1103,4.1,24.9,7.17,97.9,8.35,70,0.69,7.27,0.58,3.18,4.29,13,9,3.06,NA,0.22,NA,18.46,0.13,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",12.97
"RES4",23546,2003-11-12,1105,8.5,22.8,6.12,25.4,2.45,67,0.34,2.57,0.62,0.94,1.47,24,6,2.71,NA,0.3,NA,4.21,0.21,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",26
"RES4",23562,2003-11-18,1153,5,23.4,6.69,64.5,7.17,80,0.38,4.91,0.32,1.76,3.47,NA,4,1.75,NA,0.14,NA,12.7,0.06,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",5.86
"RES4",23578,2003-11-25,1136,4.4,23.4,6.8,79.3,7.14,84,0.57,5.92,0.32,2.84,5.35,9,5,2.86,NA,0.29,NA,13.19,0.2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",9.58
"RES4",23594,2003-12-02,1132,4,23.4,7.24,97,8.72,64,0.55,6.6,0.35,3.79,6.65,14,5,1.89,NA,0.23,NA,16.96,0.15,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3.71
"RES4",23610,2003-12-09,950,4.56,22.1,7.26,76.8,8.83,67,0.71,5.01,0.36,1.89,4.1,NA,5,2.03,NA,0.16,NA,11.65,0.09,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",7.73
"RES4",23626,2003-12-16,1123,4.09,23.1,7.22,101.6,9.8,32,0.53,8.07,0.46,4.15,7.74,NA,5,1.13,NA,0.07,NA,16.87,0.04,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",1.79
"RES4",23642,2003-12-23,1127,3.88,23.4,7.27,109.9,8.78,65,0.6,6.12,0.29,2.38,3.03,6,NA,1.82,NA,0.1,NA,13.6,0.03,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",2.7
"RES4",23658,2003-12-30,1125,4.32,20.6,7.11,66,11.13,96,0.51,8.31,0.35,4.29,4.12,7,NA,0.79,NA,0.18,NA,33.51,0.08,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",1.9
"RES4",23674,2004-01-07,1125,4.31,21.9,6.95,64.4,10.44,75,0.6,6.48,0.33,2.71,4.13,NA,5,2.33,NA,0.13,NA,15.61,0.05,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",9.86
"RES4",23690,2004-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"RES4",23706,2004-01-20,1053,3.72,23,7.33,96.4,12.38,97,0.72,9.02,0.46,5.1,9.65,NA,7,1.08,NA,0.12,NA,19.8,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.13
