"Sample_ID","Code","Sample_Date","Sample_Time","Gage_Ht","Temp","pH","Cond","Cl","NO3-N","SO4-S","Na","K","Mg","Ca","NH4-N","PO4-P","DOC","DIC","TDN","TDP","SiO2","DON","ChlorideCode","NitrateCode","SulfateCode","SodiumCode","PotassiumCode","MagnesiumCode","CalciumCode","NH4Code","PO4Code","DOCCode","DICCode","TDNCode","SiO2Code","DONCode","TSS"
"RI",100030001,1983-05-24 00:00:00,NA,1.04,NA,6.67,37.5,3.5,60,NA,3.38,0.41,0.76,1.65,8,NA,NA,NA,NA,NA,2,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"RI",100030002,1983-06-03 00:00:00,NA,1.04,NA,7.01,65.7,5.3,75,NA,5.68,0.56,1.62,3.93,NA,NA,NA,NA,NA,NA,14.8,NA,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",1.2
"RI",100030003,1983-06-08 00:00:00,NA,1.05,NA,6.93,63.2,5.4,80,NA,5.44,0.57,1.6,NA,11,NA,NA,NA,NA,NA,9.9,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1
"RI",100030004,1983-06-13 00:00:00,NA,NA,20.9,7.01,56.8,5.3,80,NA,5.26,0.55,1.25,NA,12,NA,NA,NA,NA,NA,14.6,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",12.8
"RI",100030005,1983-06-16 00:00:00,NA,2.1,21,6.12,26,3.4,85,NA,2.74,0.43,0.44,1.01,39,NA,NA,NA,NA,NA,0.3,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",226
"RI",100030006,1983-06-20 00:00:00,NA,1.08,20,6.72,59.9,5.5,81,NA,5.29,0.55,1.56,3.53,21,NA,NA,NA,NA,NA,13.7,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.6
"RI",100030007,1983-06-27 00:00:00,NA,1.17,22,7.05,60,5.5,82,NA,5.54,0.61,1.69,3.82,19,NA,1.49,NA,NA,NA,20,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",20.8
"RI",100030008,1983-07-05 00:00:00,NA,1.26,20.5,7.12,43,4.7,72,NA,3.87,0.45,0.95,2.24,28,NA,3.29,1.5,NA,NA,8.7,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",9
"RI",100030009,1983-07-11 00:00:00,NA,1.1,21,7.03,52.1,5.5,69,NA,5.51,0.51,1.59,3.59,16,NA,0.6,5.5,NA,NA,21.4,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.7
"RI",100030010,1983-07-21 00:00:00,NA,1.08,NA,7.14,61,5.7,67,NA,5.51,0.54,1.53,3.78,19,NA,0.89,5.15,NA,NA,21.5,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.8
"RI",100030011,1983-07-26 00:00:00,NA,1.06,21,7.16,63.5,5.7,70,NA,NA,NA,NA,NA,NA,NA,0.65,5.95,NA,NA,22.1,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.9
