"Sample_ID","Code","Sample_Date","Sample_Time","Gage_Ht","Temp","pH","Cond","Cl","NO3-N","SO4-S","Na","K","Mg","Ca","NH4-N","PO4-P","DOC","DIC","TDN","TDP","SiO2","DON","ChlorideCode","NitrateCode","SulfateCode","SodiumCode","PotassiumCode","MagnesiumCode","CalciumCode","NH4Code","PO4Code","DOCCode","DICCode","TDNCode","SiO2Code","DONCode","TSS"
"MG",19335000,1997-09-29,NA,NA,NA,NA,NA,8.45,114,1.27,7.76,0.87,2.42,9.91,6,11,1.33,NA,0.25,NA,21.24,0.13,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",19339000,1997-09-30,NA,NA,NA,NA,NA,8.38,100,1.23,7.53,0.91,2.27,9.05,13,11,1.68,NA,0.34,NA,21.45,0.22,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",19346000,1997-10-07,NA,NA,NA,NA,NA,9.8,107,1.39,10.48,0.91,3.38,11.21,NA,10,0.95,NA,0.19,NA,24.26,0.08,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",NA
"MG",19390000,1997-10-14,NA,NA,NA,NA,NA,6.49,232,1.03,5.48,0.79,1.48,6.1,24,17,2.33,NA,0.35,NA,12.02,0.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",19355000,1997-10-21,NA,NA,NA,NA,NA,9.7,124,1.31,8.72,0.84,3.09,8.95,6,11,0.87,NA,0.23,NA,25.2,0.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",19366000,1997-10-29,NA,NA,NA,NA,NA,11.39,95,1.47,NA,NA,NA,NA,8,11,1.15,NA,0.22,NA,26.39,0.11,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",19368000,1997-11-05,NA,NA,NA,NA,NA,NA,125,NA,NA,NA,NA,NA,14,12,1.59,NA,0.27,NA,24.81,0.13,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",19375000,1997-11-10,NA,NA,NA,NA,NA,6.6,217,1.02,6.32,0.88,1.51,5.71,14,13,3.42,NA,0.39,NA,9.57,0.15,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",19989000,1997-11-18,NA,NA,NA,NA,NA,7.93,122,1.13,7.02,0.73,2.32,8.84,5,18,1.59,NA,0.37,NA,17.64,0.24,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",19984000,1997-11-25,NA,NA,NA,NA,NA,9.88,153,1.18,8.24,0.89,2.7,7.99,12,11,1.97,NA,0.61,NA,20.83,0.45,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",19993000,1997-12-02,NA,NA,NA,NA,NA,9.49,175,1.23,9.01,0.81,2.96,7.16,10,6,1.03,NA,0.5,NA,22.85,0.32,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",20003000,1997-12-09,NA,NA,NA,NA,NA,10.13,145,1.21,9.36,0.8,3.32,7.72,6,5,0.69,NA,0.3,NA,26.43,0.14,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",19967000,1997-12-16,NA,NA,NA,NA,NA,10.63,110,1.28,9.5,0.79,3.32,6.92,7,NA,1.68,NA,0.36,NA,26.16,0.24,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",NA
"MG",20323000,1997-12-23,NA,NA,NA,NA,NA,9.78,137,1.29,8.37,0.79,3.09,9.36,9,11,1.06,NA,0.33,NA,25.02,0.19,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",20326000,1997-12-30,NA,NA,NA,NA,NA,10.98,122,1.4,9.35,0.82,3.65,10.13,7,6,0.85,NA,0.28,NA,27.64,0.15,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",20535000,1998-01-07,NA,NA,NA,NA,NA,6.98,52,1.01,5.01,0.81,1.37,4.34,23,15,2.47,NA,0.43,NA,9.21,0.35,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",20540000,1998-01-13,NA,NA,NA,NA,NA,9.23,NA,1.23,7.43,0.7,2.66,7.5,5,10,0.81,NA,0.21,NA,23.19,0.21,"NA","BDL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",20548000,1998-01-21,NA,NA,NA,NA,NA,12.46,NA,1.4,9.59,0.87,3.37,7.44,NA,6,0.88,NA,0.2,NA,26.13,0.19,"NA","BDL","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",NA
"MG",20558000,1998-01-27,NA,NA,NA,NA,NA,11.01,101,1.32,9.4,0.8,3.61,8.69,11,7,1.07,NA,0.16,NA,27.43,0.05,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
