"Sample_ID","Code","Sample_Date","Sample_Time","Gage_Ht","Temp","pH","Cond","Cl","NO3-N","SO4-S","Na","K","Mg","Ca","NH4-N","PO4-P","DOC","DIC","TDN","TDP","SiO2","DON","ChlorideCode","NitrateCode","SulfateCode","SodiumCode","PotassiumCode","MagnesiumCode","CalciumCode","NH4Code","PO4Code","DOCCode","DICCode","TDNCode","SiO2Code","DONCode","TSS"
"MPR",1526,1989-05-16,933,1.78,NA,7.08,108,NA,69,0.38,6.32,0.77,1.92,6.15,NA,NA,NA,NA,0.35,NA,22.78,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MPR",1539,1989-05-23,1005,1.9,NA,7.45,92.8,NA,69,2.41,6.9,0.72,2.41,7.17,NA,NA,NA,NA,0.19,NA,26.41,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5.02
"MPR",1570,1989-05-30,1034,2.76,NA,7.19,68.6,NA,79,1.4,5.55,0.7,1.6,5.19,NA,NA,NA,NA,0.25,NA,18.95,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",53.33
"MPR",1582,1989-06-06,1110,2.42,NA,7.54,72.6,NA,85,2.81,8.85,0.59,1.69,6.6,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2.21
"MPR",1599,1989-06-13,1000,2.13,NA,7.34,85,NA,70,NA,6.52,0.65,2.06,6.66,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3.13
"MPR",1657,1989-06-20,1010,2.18,NA,7.67,81.3,NA,71,3.75,6.35,0.66,1.98,7.64,NA,NA,NA,NA,NA,NA,23.05,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5.2
"MPR",1687,1989-06-27,957,1.83,NA,7.47,84.7,NA,NA,NA,6.47,0.7,3.31,7.83,NA,NA,NA,NA,NA,NA,23.23,NA,"NA","BDL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",11.2
"MPR",1697,1989-07-05,NA,NA,NA,6.94,39.2,NA,10,NA,3.95,0.62,0.82,3.17,NA,NA,NA,NA,0.74,NA,13.55,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MPR",1986,1989-07-11,1032,1.64,NA,7.33,76.3,NA,24,0.81,6.36,0.76,1.85,7.94,NA,NA,NA,NA,0.18,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MPR",2063,1989-07-26,NA,NA,NA,7.17,69.5,NA,10,NA,5.84,0.69,1.5,6.95,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
