"Sample_ID","Code","Sample_Date","Sample_Time","Gage_Ht","Temp","pH","Cond","Cl","NO3-N","SO4-S","Na","K","Mg","Ca","NH4-N","PO4-P","DOC","DIC","TDN","TDP","SiO2","DON","ChlorideCode","NitrateCode","SulfateCode","SodiumCode","PotassiumCode","MagnesiumCode","CalciumCode","NH4Code","PO4Code","DOCCode","DICCode","TDNCode","SiO2Code","DONCode","TSS"
"RS",23088,2003-04-22,1215,NA,23.8,7.34,68.5,10.72,117,0.85,8.37,0.77,1.79,2.92,8,20,0.76,NA,0.18,NA,24.04,0.05,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",7.43
"RS",23104,2003-04-29,843,NA,24,7.86,94.6,11.25,117,0.92,9.48,0.99,2.79,5.76,9,18,0.84,NA,0.17,NA,26.32,0.05,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5.2
"RS",23120,2003-05-06,1151,NA,25,7.73,98.3,11.34,61,0.89,10.05,0.84,2.7,4.29,11,27,0.83,NA,0.15,NA,28.76,0.08,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4
"RS",23136,2003-05-13,1240,NA,25.5,7.56,110.2,11.1,73,0.83,7.93,0.65,2.23,3.18,11,15,0.94,NA,0.14,NA,39.82,0.05,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3.14
"RS",23152,2003-05-20,1519,NA,25,7.7,101.1,10.41,85,0.82,7.15,0.68,2.2,3.25,12,13,1.56,NA,0.15,NA,26.99,0.06,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5.64
"RS",23168,2003-05-27,1258,NA,26,7.69,106.8,10.59,82,0.75,7.48,0.8,2.28,3.44,9,17,0.87,NA,0.13,NA,27.38,0.04,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4.43
"RS",23184,2003-06-03,1310,NA,25.3,7.32,92.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.03,NA,0.1,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","BDL","BDL","NA","NA","NA","NA","NA",3.5
"RS",23200,2003-06-10,800,NA,23.5,7.51,75.8,10.45,100,0.78,6.99,0.99,2.46,3.72,NA,19,0.98,NA,0.12,NA,26.46,0.02,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",27.78
"RS",23216,2003-06-17,1344,NA,25.5,7.44,98.4,10.89,67,0.82,8.53,0.83,2.38,4.71,NA,NA,1.1,NA,0.2,NA,25.07,0.13,"NA","NA","NA","NA","NA","NA","NA","BDL","BDL","NA","NA","NA","NA","NA",3.8
"RS",23232,2003-06-24,1230,NA,27.5,7.42,106.1,10.75,49,1.04,9.83,0.94,3.33,4.04,NA,NA,1.05,NA,0.15,NA,NA,0.1,"NA","NA","NA","NA","NA","NA","NA","BDL","BDL","NA","NA","NA","NA","NA",2.86
"RS",23248,2003-07-01,1148,NA,25.5,7.95,143,12.7,97,0.9,9.4,0.94,3.2,4.12,5,8,1.49,NA,NA,NA,27.07,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","BDL",1.9
"RS",23264,2003-07-08,1138,NA,25.5,7.56,129.7,12.53,102,0.89,11.25,0.87,3.86,4.89,8,5,0.95,NA,0.1,NA,22.03,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","BDL",1.7
"RS",23280,2003-07-15,1430,NA,27,7.32,101.3,11.92,150,1.03,9.68,0.86,3.05,4,14,4,0.99,NA,0.23,NA,22.86,0.06,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2.6
"RS",23296,2003-07-22,1218,NA,25.8,7.2,100.8,11.77,84,0.97,9.28,0.97,2.51,4.51,7,6,1.17,NA,0.14,NA,18.81,0.05,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",6.09
"RS",23312,2003-07-29,1215,NA,27,7.35,121.4,11.56,82,0.9,9.21,0.92,2.89,4.9,NA,NA,1.19,NA,0.14,NA,19.11,0.06,"NA","NA","NA","NA","NA","NA","NA","BDL","BDL","NA","NA","NA","NA","NA",2.69
"RS",23328,2003-08-05,1113,NA,25,7.5,138.5,11.65,97,0.85,9.53,1.09,3.62,5.99,11,NA,0.81,NA,0.15,NA,17.2,0.04,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",1
"RS",23344,2003-08-12,1100,NA,25,7.68,141.2,12.23,105,0.87,10.13,0.95,3.54,4.5,7,NA,0.87,NA,0.15,NA,25.38,0.04,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",1.41
"RS",23360,2003-08-19,1110,NA,25,7.39,93.5,10.88,90,0.88,9.45,0.78,2.89,5.05,14,7,1.07,NA,0.14,NA,24.24,0.04,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4
"RS",23376,2003-08-26,1045,NA,24.5,7.28,46.3,7.51,96,0.72,5.63,0.74,1.01,1.82,15,NA,3.05,NA,0.27,NA,7.44,0.16,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",57.67
"RS",23392,2003-09-02,1038,NA,25.5,7.58,89,9.45,109,0.76,8.03,0.92,2.22,4.34,24,20,1.27,NA,0.2,NA,21.79,0.06,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",35.78
"RS",23408,2003-09-09,1109,NA,24,7.18,65.5,8.98,157,0.75,6.63,0.65,1.4,2.61,8,NA,1.46,NA,0.23,NA,16.82,0.06,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",6.62
"RS",23424,2003-09-16,1010,NA,24.8,7.28,58.6,7.66,130,0.73,5.78,0.63,1.13,2.01,18,5,2.68,NA,0.26,NA,11.72,0.11,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",18.4
"RS",23440,2003-09-23,1041,NA,24.8,7.38,96.3,10.3,111,0.74,8.08,0.73,1.63,3.42,6,9,0.74,NA,0.19,NA,23.19,0.07,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3.56
"RS",23456,2003-09-30,947,NA,24.5,7.27,94.2,10.72,86,0.75,8.9,0.76,2.23,4.12,5,8,0.92,NA,0.14,NA,26.75,0.05,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2.33
"RS",23472,2003-10-07,948,NA,24,7.43,92.2,12.23,106,0.82,9.8,0.87,2.74,5.16,10,6,0.69,NA,0.13,NA,23.52,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","BDL",1.1
"RS",23488,2003-10-14,1051,NA,25,7.39,84.5,10.87,118,0.79,8.72,0.77,2.61,5.15,6,6,0.71,NA,0.13,NA,21.57,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","BDL",2.53
"RS",23504,2003-10-21,1010,NA,24.8,6.96,95.4,11.91,NA,0.84,9.26,0.88,2.57,5.12,6,10,0.82,NA,0.12,NA,15.11,0.12,"NA","BDL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3.91
"RS",23520,2003-10-28,1020,NA,24,7.18,98.3,11.15,174,0.88,8.51,0.84,2.83,5.62,9,8,0.93,NA,0.19,NA,21.24,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","BDL",3
"RS",23536,2003-11-04,1120,NA,24.8,6.94,83,8.89,102,0.78,7.77,0.88,2.19,2.92,11,9,1.8,NA,0.19,NA,19.56,0.08,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4.1
"RS",23552,2003-11-12,1100,NA,24.5,7.08,64.1,NA,152,0.68,5.7,0.8,1.34,2.54,6,6,1.2,NA,0.21,NA,19.21,0.05,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",12.29
"RS",23568,2003-11-18,1158,NA,24,6.75,72.1,10.37,95,0.76,8.15,0.94,2.48,4.76,NA,9,0.93,NA,0.21,NA,19.37,0.12,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",7.71
"RS",23584,2003-11-25,1035,NA,23.3,7.05,60.1,9.33,180,0.66,7.07,0.61,1.76,3.32,33,8,0.74,NA,0.27,NA,19.93,0.06,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
